f (Hz)	Rs (Ohm)	Xs (Ohm)	Rs_CSE (Ohm)	Xs_CSE (Ohm)	Rs_ASE_diffuse (Ohm)	Xs_ASE_diffuse (Ohm)	Rs_relaxation (Ohm)	Xs_relaxation (Ohm)	Rs_local (Ohm)	Xs_local (Ohm)	Rs_anomalous_reflection (Ohm)	Xs_anomalous_reflection (Ohm)
3430469.286314919	3.670908277960561e-05	-5.98413515174595e-05	1.6457794453558283e-05	-1.6457794453558283e-05	3.307226555784175e-05	-5.728284426759216e-05	0.00030616582327592964	-8.84680711182621e-07	1.6445909855848825e-05	-1.646968763964406e-05	0.2518010891551806	-8.84680711182621e-07
4328761.281083061	4.260120381104449e-05	-6.969146995601556e-05	1.8487436039494507e-05	-1.848743603949451e-05	3.861926587218599e-05	-6.689053064163692e-05	0.00030616582327592964	-1.116340444721533e-06	1.847059152580279e-05	-1.850429591477555e-05	0.2518010891551806	-1.116340444721533e-06
5462277.217684337	4.945598524894338e-05	-8.117608262717916e-05	2.0767381211308285e-05	-2.0767381211308285e-05	4.509662919518229e-05	-7.810965301614968e-05	0.00030616582327592964	-1.4086618740168464e-06	2.0743507405154522e-05	-2.0791282493944647e-05	0.2518010891551806	-1.4086618740168464e-06
6892612.104349695	5.7432357429540916e-05	-9.45677663129945e-05	2.3328498416678942e-05	-2.3328498416678942e-05	5.266039938455865e-05	-9.12104872809244e-05	0.00030616582327592964	-1.777529681640838e-06	2.3294663025824653e-05	-2.3362382953282754e-05	0.2518010891551806	-1.777529681640838e-06
8697490.026177835	6.671563833563934e-05	-0.0001101847091851286	2.6205462924745324e-05	-2.620546292474532e-05	6.149279253974661e-05	-0.00010650864097813352	0.00030616582327592964	-2.2429880636326446e-06	2.6157511283137217e-05	-2.6253502470738063e-05	0.2518010891551806	-2.2429880636326446e-06
10974987.654930567	7.752192373529217e-05	-0.00012839836654515577	2.9437226298681094e-05	-2.943722629868109e-05	7.180658670517237e-05	-0.00012437265649145837	0.00030616582327592964	-2.8303299267297783e-06	2.93692724669894e-05	-2.9505337360118495e-05	0.2518010891551806	-2.8303299267297783e-06
13848863.713938717	9.010320637410152e-05	-0.0001496424070367004	3.306754376552127e-05	-3.306754376552127e-05	8.385024783050253e-05	-0.0001452328894696724	0.00030616582327592964	-3.571471299391711e-06	3.297125029670687e-05	-3.316411846213422e-05	0.2518010891551806	-3.571471299391711e-06
17475284.00007683	0.00010475334434549089	-0.00017442316861998746	3.714556662336279e-05	-3.714556662336279e-05	9.791391547553198e-05	-0.0001695918763716259	0.00030616582327592964	-4.506685641810176e-06	3.700912565435514e-05	-3.728251060717273e-05	0.2518010891551806	-4.506685641810176e-06
22051307.399030454	0.00012181501816291347	-0.0002033318815073425	4.17265077066099e-05	-4.172650770660991e-05	0.00011433639245920115	-0.00019803644089347138	0.00030616582327592964	-5.686792296932978e-06	4.153320028411013e-05	-4.1920714837279e-05	0.2518010891551806	-5.686792296932978e-06
27825594.022071257	0.00014168783844578604	-0.00023705895996860272	4.687238891907779e-05	-4.68723889190778e-05	0.00013351330683789557	-0.00023125183092976827	0.00030616582327592964	-7.175918002451708e-06	4.659854935771439e-05	-4.7147837717346664e-05	0.2518010891551806	-7.175918002451708e-06
